Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
36712;815;0.879181934;98.34957204;0.694548682;60.26621516;8.539738771;48.01792133;3.070269301;0.001159507;404.186889;0.347529576;69920;4311;0.735976759;96.29330919;0.04727758;54.51759015;43.03397462;52.69484613;3.316316262;0.000729394;1522.356518;0.364521583;0.273225914;0.555177112;0.252584279;0.525057208;0.189051264;3
38251;868;0.845475443;79.3172335;0.637989024;50.04257321;3.331073514;31.04071408;2.96480734;0.00176721;280.6228985;0.324884356;58485;3037;0.731300173;72.67124202;0.079682834;31.89735243;24.20661669;29.41909448;3.281131629;0.000932734;1948.118694;0.327626038;0.285595891;0.59047619;0.194737777;0.654030948;0.285808364;3
38738;877;0.909129312;83.37448904;0.632918619;62.01807346;5.607281127;41.80236544;3.0613608;0.00136219;259.0305846;0.316480531;72480;1321;0.934538468;92.26497626;0.521942202;61.79275583;43.49271425;56.66354354;3.327428647;0.000729723;596.3817054;0.339874994;0.357939478;0.666413374;0.865452468;0.53446468;0.663890992;3
43413;709;0.966429955;83.51156532;1.085268485;60.07616437;6.390511754;41.48697769;3.040621093;0.001301072;215.3735609;0.295890501;62593;3710;0.772552795;70.78454968;0.05714626;29.75928815;23.63011281;27.76308533;3.264443373;0.00088309;1816.628915;0.294625741;0.342006996;0.497194951;0.45604375;0.693575959;0.191105121;3
33482;1602;0.64529931;92.12799444;0.163944266;49.36984667;15.0227;43.60906;2.807530114;0.002164203;1146.494993;0.320915586;110666;3228;0.787086955;110.4672768;0.133461814;112.6379467;87.97036;109.3420267;3.194662556;0.00090992;1243.967654;0.340149558;0.223213333;1.033548387;0.375311404;0.302550015;0.496282528;3
26579;1297;0.713549357;86.39814075;0.198549386;41.8166569;13.69529497;37.49671377;2.721986394;0.002639213;1430.132731;0.34247974;73903;3126;0.90641826;103.0133738;0.095037277;72.79929703;52.90489934;71.14452985;3.096090022;0.001133643;1226.745604;0.365674301;0.189879838;0.865821095;0.54958719;0.359647105;0.41490723;3
16644;2398;0.614804965;81.86353868;0.03637217;35.85595008;12.76481231;32.31365132;2.541609246;0.003986108;1827.430998;0.345026533;65412;1953;0.92060856;109.6117569;0.215507707;102.5277477;68.56975619;99.60583398;3.069678403;0.001188071;869.5970213;0.357690142;0.161029412;1.864696734;0.641738474;0.254448725;1.227854583;3
42371;807;0.911478725;81.23716756;0.817582352;61.88990914;5.644156455;42.14232001;3.031133826;0.001379964;191.511986;0.317485229;77641;1255;0.930077386;90.17918735;0.619460377;59.71126062;44.60970791;55.51002646;3.297751144;0.000774841;735.9205241;0.331096152;0.368776981;0.595132743;0.293620914;0.545729705;0.643027888;3
41898;797;0.919178623;83.86008922;0.828870177;68.12655297;5.341434832;45.38204078;3.038552951;0.00141557;233.8576456;0.302395661;76454;1015;0.976199597;91.27769738;0.932562595;63.57568598;44.02147485;59.2382622;3.311381921;0.00077234;461.6116705;0.31675761;0.39918064;0.614969136;0.303587735;0.5480158;0.785221675;3
45411;774;0.967529562;78.65304635;0.952552691;54.62575592;5.382983931;39.40959944;3.03833058;0.00132958;212.3718476;0.31041826;97480;1395;0.967005932;92.70755331;0.629472801;71.0431881;52.91300467;68.00482348;3.309369744;0.000717339;542.7879399;0.327152396;0.326923631;0.518766756;0.587422967;0.465849405;0.55483871;3
