Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
27754;949;0.812542085;82.90081346;0.387260341;3.04831832;0.00175103;546.508691;0.304755217;60996;1918;0.774188635;101.7962655;0.208359839;3.394468629;0.00068326;1312.615983;0.315541088;0.291454015;0.761637239;0.446321845;0.455013444;0.494786236;2
27768;871;0.773223435;78.56632472;0.459957976;3.024033546;0.00208459;551.5216451;0.344609394;58690;1416;0.756665463;98.19111164;0.367830271;3.34321365;0.000818258;1292.083319;0.315998331;0.265366972;0.673106646;0.647637606;0.473130005;0.615112994;2
27587;1046;0.765072938;78.47351894;0.316848;3.004127946;0.001980992;425.7975991;0.32951166;58581;1529;0.76106896;97.22240634;0.314884783;3.313074691;0.000903412;1221.41219;0.325134534;0.264243295;0.807098765;0.418263942;0.470920606;0.68410726;2
23148;736;0.856096749;81.55009103;0.536991868;2.970743899;0.002078672;431.3202395;0.332923691;45120;1051;0.895469069;98.64387377;0.51330267;3.328137882;0.000813456;796.7756809;0.339910874;0.323503927;0.687850467;0.903472722;0.513031915;0.700285442;2
29255;799;0.86874536;85.08574336;0.57585933;3.018726525;0.00160816;333.3241887;0.336297236;31969;2043;0.706387962;57.03757755;0.09625032;3.297519019;0.001084397;1483.089096;0.313238639;0.342917761;0.674831081;0.192800626;0.915105258;0.391091532;2
27691;1005;0.716696431;83.67376916;0.34452154;3.089243138;0.001441344;371.8121802;0.321407628;51821;1320;0.761883059;99.66830762;0.373738459;3.352860207;0.00073482;774.8848878;0.351326084;0.288195745;0.810483871;0.326481909;0.534358658;0.761363636;2
21250;879;0.810202837;77.27599344;0.345613779;2.969855901;0.002420602;473.2996358;0.325727179;30921;1705;0.650489113;94.62410993;0.133664054;3.332457174;0.00077544;922.6574375;0.329935837;0.297427428;0.821495327;0.322042555;0.687235212;0.515542522;2
23819;965;0.695424951;81.17295922;0.321424341;2.967350981;0.002096757;351.4026732;0.313785996;35641;2234;0.633516415;95.59495386;0.089741517;3.3062921;0.000880342;1532.990953;0.333526114;0.296551295;0.845008757;0.217082486;0.668303358;0.431960609;2
27912;1498;0.649599702;78.27471695;0.156306556;3.084878366;0.001820095;723.9789908;0.321003585;52626;1580;0.743315584;95.75525909;0.264908596;3.419351345;0.000614131;976.1109105;0.320773094;0.246921444;1.111275964;0.281145334;0.530384221;0.948101266;2
48380;1449;0.708667184;92.74542721;0.289560259;3.107369994;0.001266355;435.3720276;0.322329296;61386;2869;0.764524927;74.92733527;0.093716941;3.382621537;0.00067948;1136.237804;0.326845114;0.406592206;1.05;0.609199822;0.788127586;0.505054026;2
25999;1318;0.723178771;78.45186984;0.188076999;2.970213405;0.002414691;587.7359373;0.347244043;55150;1693;0.794382427;98.21375371;0.241791742;3.345630945;0.000766071;1047.844288;0.343009959;0.287278594;1.094684385;0.906974375;0.471423391;0.778499705;3
