Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
50565;17154;0.231204;95.6717;0.002159;0.999758;0.504729;774.303589;0.834984;111075;19638;0.265994;103.762337;0.003619;1.203734;0.41357;1882.493286;0.80474;0.278601;10.031579;0.545719;0.455233;0.873511;3
39369;6063;0.284232;96.204529;0.013458;1.073528;0.498651;396.45166;0.826756;98805;20010;0.271851;110.214714;0.003101;1.481889;0.29247;2193.509521;0.775066;0.287909;4.085579;0.243846;0.398452;0.302999;3
18686;2913;0.242483;71.148422;0.027672;0.81253;0.64156;123.319191;0.867994;72474;13440;0.267872;105.125229;0.005042;1.860105;0.179111;1347.862671;0.706542;0.195126;2.3304;0.253804;0.25783;0.216741;4
21451;3369;0.266406;71.953087;0.02375;0.783277;0.654356;146.979141;0.873672;85754;18468;0.269728;105.983238;0.00316;1.820019;0.176652;1715.339233;0.713878;0.187244;2.488183;0.476741;0.250146;0.182424;4
23090;3462;0.262059;84.329453;0.024209;0.980374;0.568967;286.108734;0.838509;74545;10242;0.293272;108.462196;0.00893;1.70144;0.20256;1320.787842;0.737075;0.240408;2.782958;0.22421;0.309746;0.33802;4
21837;3252;0.226112;86.523323;0.025948;1.024099;0.548353;273.653778;0.833291;64917;11427;0.295425;107.822449;0.006247;1.616341;0.23204;1614.16394;0.749375;0.254439;2.774744;0.285916;0.336383;0.284589;4
21268;3507;0.245204;85.356171;0.02173;0.971663;0.56607;296.532715;0.840478;73244;8121;0.308379;106.77301;0.013956;1.800065;0.156661;1214.720947;0.72006;0.242288;2.956998;0.769122;0.290372;0.431843;4
19883;2808;0.273961;87.045403;0.031688;0.914111;0.577063;269.437012;0.852391;67024;11502;0.298306;109.434448;0.006366;1.734082;0.181226;1627.74292;0.725185;0.235614;2.416523;0.134454;0.296655;0.244131;4
21434;3210;0.260241;86.255173;0.02614;0.94969;0.572142;255.439377;0.848591;67347;10281;0.284183;110.460861;0.008007;1.573148;0.226522;1312.855713;0.764474;0.239016;2.675;0.322256;0.318262;0.312226;4
23328;3219;0.242409;87.633415;0.028291;1.068257;0.518633;262.151001;0.827386;65090;8154;0.302967;108.072578;0.012302;1.545377;0.246148;1073.486572;0.770276;0.274829;2.76072;0.394652;0.358396;0.394776;4
26183;4062;0.27102;85.079369;0.019941;1.029382;0.551469;300.313995;0.833508;88656;11103;0.301363;105.479195;0.009037;1.818883;0.148651;1443.813721;0.708179;0.251919;3.148837;0.448218;0.295333;0.365847;4
20131;2295;0.249214;82.295128;0.04803;0.99987;0.586164;213.694611;0.836716;71034;6675;0.311037;110.145874;0.020034;1.754637;0.168413;852.641663;0.747464;0.230564;1.935076;0.226601;0.283399;0.34382;4
23467;2727;0.273479;88.065338;0.039655;1.200443;0.500111;243.336929;0.800805;69715;12270;0.30103;110.532082;0.005819;1.755223;0.171503;1906.223755;0.726431;0.288222;2.387916;0.143386;0.336613;0.222249;4
23221;3450;0.263321;83.259201;0.024516;0.953177;0.585813;230.429138;0.846728;84156;15153;0.293717;107.423073;0.004606;1.78865;0.145952;1613.396362;0.714194;0.230381;2.716535;0.181541;0.275928;0.227678;4
22500;3120;0.222235;85.977837;0.029046;0.929447;0.593436;253.904465;0.849981;93278;5868;0.324419;101.121254;0.034042;1.970525;0.083453;705.872925;0.696646;0.225333;2.468354;0.294225;0.241214;0.531697;4
25277;3387;0.244074;86.594727;0.027689;1.090985;0.521383;272.688477;0.820378;82441;11532;0.304181;104.292374;0.00779;1.907201;0.136518;1362.561035;0.701606;0.272781;2.77623;0.946263;0.306607;0.293704;4
21598;3276;0.234889;80.610802;0.025289;0.947953;0.607195;250.211533;0.847779;71836;11640;0.289216;111.155632;0.006663;1.597825;0.232063;1460.464355;0.75289;0.216346;2.591772;0.312112;0.300657;0.281443;4
23982;3174;0.275988;87.012886;0.029914;1.127495;0.531362;308.837921;0.810466;77370;12372;0.289723;108.995804;0.006352;1.865456;0.153151;1841.139893;0.717888;0.265587;2.640599;0.655048;0.309965;0.256547;4
21682;2736;0.250029;83.417435;0.036398;1.075411;0.553019;246.80899;0.821893;68700;11961;0.300096;109.43512;0.006034;1.740339;0.189952;1870.914063;0.721101;0.251759;2.330494;0.312674;0.315604;0.228743;4
23599;2592;0.264842;84.837181;0.04414;0.952928;0.603023;199.358521;0.847698;91693;13194;0.288599;110.269928;0.006619;1.82871;0.125837;1539.016846;0.724737;0.22005;1.978626;0.687075;0.25737;0.196453;4
23776;3300;0.303955;74.818527;0.027436;0.717017;0.691698;178.36319;0.888996;125520;16602;0.312822;101.259674;0.005723;1.987257;0.081025;1463.983643;0.685913;0.165267;2.173913;0.360376;0.18942;0.198771;4
