Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
18435;2547;0.267151;82.051239;0.03571;47.741009;3.94956;24.889322;0.946278;0.549883;110.798477;0.865124;41780;7416;0.274444;96.307785;0.009546;67.629356;53.110184;69.345306;1.378367;0.403979;698.865845;0.780307;0.253301;2.358333;0.210065;0.44124;0.343447;5
16661;1890;0.287621;76.719986;0.058612;42.902779;2.797558;25.513567;0.895662;0.572816;79.719551;0.875443;40518;4236;0.317975;95.626785;0.028376;67.592239;53.933678;67.809654;1.271446;0.415308;535.612305;0.803697;0.239331;1.789773;0.364263;0.4112;0.446176;5
20767;2241;0.264716;69.96241;0.051964;37.110264;2.859862;16.63674;0.844562;0.601749;51.531818;0.874626;30711;16833;0.180652;76.929504;0.001362;35.942101;29.163916;34.23925;0.819801;0.633997;1144.936523;0.858359;0.220942;1.824919;0.484886;0.676207;0.133131;5
20998;2784;0.293535;75.328072;0.034045;42.273666;4.126131;18.539181;0.942394;0.56982;74.071327;0.851971;32139;16737;0.189987;84.673721;0.001442;45.862965;36.233112;43.407928;1.013379;0.556625;1230.454224;0.827641;0.240488;2.35533;0.775581;0.65335;0.166338;5
33721;3480;0.25961;73.034767;0.034991;40.251801;4.16592;23.364262;0.93798;0.581281;58.020264;0.851184;33411;6045;0.242182;31.494579;0.01149;5.315047;3.711134;5.093524;0.182454;0.931557;190.667877;0.96942;0.23411;2.289474;0.169034;1.009278;0.575682;5
26780;2652;0.274768;71.747833;0.047849;39.062809;4.616048;22.053257;0.936794;0.58796;59.726879;0.850749;33168;10503;0.24095;53.81419;0.003778;15.677964;12.056835;14.702589;0.415014;0.825723;580.574829;0.933101;0.229848;1.941435;0.260379;0.807405;0.252499;5
24663;2859;0.272444;74.070137;0.037916;43.829281;3.30335;21.43059;0.979764;0.54068;59.0891;0.849356;25050;8628;0.228204;44.940224;0.004229;11.12064;8.119011;10.10961;0.32648;0.87076;357.570099;0.947009;0.260835;2.32439;0.349194;0.984551;0.331363;5
23430;3729;0.243007;81.247002;0.021174;57.453472;5.878413;23.763729;1.246766;0.434286;96.368607;0.795809;17550;10176;0.157835;49.733425;0.00213;14.044155;10.637826;13.422311;0.429329;0.827256;512.0047;0.924239;0.334915;3.524575;0.142112;1.335043;0.36645;5
25002;3096;0.242726;69.036484;0.032778;36.210857;3.760216;17.300501;0.867823;0.607016;65.748291;0.865657;37822;18378;0.189792;74.437683;0.001407;33.810696;26.906389;32.400299;0.802658;0.645048;1016.018311;0.864501;0.21693;2.279823;0.314372;0.661044;0.168462;5
22580;2202;0.276929;73.705574;0.058519;42.781559;3.689768;21.810266;0.976053;0.551659;59.617352;0.848552;21250;6114;0.232431;37.645679;0.007144;7.356588;5.452802;7.174365;0.234802;0.909597;300.080078;0.960174;0.253503;1.844221;0.302457;1.062588;0.360157;5
